video_id,seconds,fps,numFrame,rfps,subset,featureFrame
v_IfmPmHEAxc4,11,19,209,19,training,209
v_R1bqbBNUofo,10,20,200,20,training,200
v_FwjVcxrLUXE,10,29,290,29,training,290
v_n_mXJxwr4nY,128,30,3840,30,testing,3840
v_B2Nvss6-Fvg,9,30,270,30,training,270
v_TNtLWlkCK98,192,25,4800,25,training,4800
v_gTd9zKFWHLY,60,29,1740,29,training,1740
v_DFe8t-wWH50,18,30,540,30,testing,540
v_7lup9EkNClY,25,29,725,29,training,725
v_EA17FV1XeJw,10,30,300,30,testing,300
v_FAgDMtr8wIo,52,29,1508,29,training,1508
v_KKpH3Sphk4M,19,30,570,30,training,570
v_yn6RY7cBNOs,10,24,240,24,validation,240
v_xI2xCPo1c0k,10,30,300,30,training,300
v_jknAVnCELOk,10,30,300,30,training,300
v_hqxWzBgom88,37,29,1073,29,testing,1073
v_qZU_5GHwx1U,10,30,300,30,training,300
v_UGiyPMmtMBw,10,30,300,30,training,300
v__DL1q-XQc7E,11,30,330,30,training,330
v_FSuNQE36u9c,27,29,783,29,training,783
v_Ey2syxlV50I,13,30,390,30,testing,390
v__h_Yu4exmDo,20,30,600,30,training,600
v_eZM7ZxVQDnI,10,24,240,24,training,240
v_I2rptpuQIxY,10,30,300,30,testing,300
v_HOpxVQg85XA,10,29,290,29,training,290
v_ZE9o84Q-GTY,10,25,250,25,testing,250
v_l1WA5kvhqLA,10,30,300,30,testing,300
v_GbosJV9yp44,10,29,290,29,training,290
v_vcw-vQVyZsM,10,30,300,30,testing,300
v_hF5QCnQG08o,10,30,300,30,training,300
v_HCkucujdBjc,10,30,300,30,training,300
v_Ya2kn-A5AEw,11,29,319,29,training,319
v_QpRMxyQsMvI,10,29,290,29,training,290
v_Bue-3GRHjvg,10,29,290,29,training,290
v_WscM7fCZR4A,10,30,300,30,training,300
v_I8AlvZT7rvo,10,29,290,29,training,290
v_YsubBUslV10,10,30,300,30,training,300
v_dQgNze6PYJw,37,30,1110,30,training,1110
v_mMBJJicVgZg,11,30,330,30,training,330
v_-k-B4s7idPo,10,29,290,29,training,290
v_IxktOWvTeh4,10,30,300,30,training,300
v_kRgaUA6dywM,10,29,290,29,training,290
v_eSrpNwZUeQY,77,30,2310,30,training,2310
v_lofaNlFeXAM,92,29,2668,29,testing,2668
v_Su105JQwCQE,7,20,140,20,training,140
v_TCld95KNQBI,10,29,290,29,training,290
v_l7vk4E7yXKQ,10,25,250,25,testing,250
v_VpRYqf9hEKM,12,24,288,24,testing,288
v_oPTxX3ofaT4,149,30,4470,30,testing,4470
v_2yhnCA6qaJc,10,30,300,30,training,300
v_HQtWbLHCRG0,10,29,290,29,training,290
v_KByQeB_HkRY,10,30,300,30,training,300
v_3IjfM_MlMig,10,30,300,30,training,300
v_HfgPYYgUfNA,10,29,290,29,training,290
v_nk2U8OkISPw,16,25,400,25,training,400
v_7YPL20RgKxQ,18,25,450,25,validation,450
v_fQN7-j_pSDE,10,30,300,30,testing,300
v_SC6KctD5Wd4,10,30,300,30,training,300
v_x94l9ldCPqs,10,30,300,30,training,300
v_cwcT-d1QX-k,13,29,377,29,testing,377
v_Xf2cXVtJTD4,24,30,720,30,training,720
v_O0P_kkhKacs,23,29,667,29,validation,667
v_KaW2shcqycA,125,29,3625,29,validation,3625
v_dU1dorAeHXo,18,30,540,30,training,540
v_DTF15pzLtfE,10,25,250,25,training,250
v_V0z688T1vuo,144,30,4320,30,testing,4320
v_iLWTZQ_bXwY,10,29,290,29,training,290
v_rct-PI-KpSA,10,23,230,23,training,230
v_0rB4VgyZvdk,10,30,300,30,testing,300
v_hkhc-yd7Dmc,48,29,1392,29,training,1392
v_v8sqR8C81ak,50,30,1500,30,testing,1500
v_w24kxs83rB0,26,30,780,30,training,780
v_i1DJgjh2FKM,10,29,290,29,training,290
v_niGug3nYBH4,10,29,290,29,training,290
v_jVn4647lEX0,10,30,300,30,training,300
v_RPQuCn56Y6I,10,30,300,30,validation,300
v_saEtHHLBSxM,10,29,290,29,training,290
v_Y0pWiEpvRv0,10,29,290,29,training,290
v_Cye_WmDqTIQ,35,29,1015,29,training,1015
v_DiiIMQLjipU,10,30,300,30,validation,300
v_wENnDNHfYTs,10,30,300,30,testing,300
v_eCOcUYGnl38,10,30,300,30,validation,300
v_mBQ3cv3Dde0,10,9,90,9,training,90
v_t16bY1Aft0g,15,30,450,30,training,450
v_S5VXFNThH1A,11,25,275,25,training,275
v_E7mNrEqzMhg,10,30,300,30,training,300
v_u224Twe1LFs,10,25,250,25,validation,250
v_XhgpFhFKrWw,10,29,290,29,testing,290
v_zFJ8PZZJBHY,10,30,300,30,training,300
v_KelF_RGE5Ks,10,18,180,18,training,180
v_wvppZIq6OOs,10,29,290,29,testing,290
v_nsZTvjGB120,10,29,290,29,training,290
v_CXH-Wg1RTCE,10,30,300,30,training,300
v_LTa6bFlUZNk,10,30,300,30,testing,300
v_WMAJpLIeN48,10,29,290,29,training,290
v_8GgQ2l7q3vA,115,29,3335,29,training,3335
v_gABsvFR9gBc,23,25,575,25,testing,575
v_ydYzYp8oA74,17,23,391,23,validation,391
v_LLsuh0Z-czA,179,30,5370,30,training,5370
v_-hmVsNcsug4,10,30,300,30,training,300
v_mHJ5Cg7AZFE,11,15,165,15,validation,165
v_KK4wIM1pMc4,12,29,348,29,training,348
v_X34yhILzwLA,11,30,330,30,training,330
v_vh6179NeAAQ,10,29,290,29,training,290
v_Uf6iOvzb_IU,10,29,290,29,testing,290
v_ndXAbw9NTgg,10,30,300,30,training,300
v_1T6Nph_ZsG8,10,29,290,29,testing,290
v_XPnxJevjD7Y,10,24,240,24,training,240
v_8JbW_YyVB-A,10,30,300,30,training,300
v_5n50SvNbzqw,11,24,264,24,training,264
v_df9quOvOnGs,10,29,290,29,testing,290
v_3qfy84M5I68,10,25,250,25,training,250
v_J_Cg2SBDWPM,11,29,319,29,training,319
v_hawcLRkWltE,28,8,224,8,testing,224
v_TEjp7kYD-sc,11,30,330,30,training,330
v_Y8237eE-6cM,11,30,330,30,training,330
v__r2BGb6annY,11,30,330,30,training,330
v_Gc3Aje1aBX0,124,29,3596,29,training,3596
v_UNf_30kiADs,104,29,3016,29,training,3016
v_tSXwIhNKuyE,114,25,2850,25,training,2850
v_wbQVKFzo8xw,101,10,1010,10,training,1010
v_OfvlFou9vyE,173,25,4325,25,training,4325
v_0ggJ627z4jU,117,25,2925,25,training,2925
v_aCc78OlCde8,100,30,3000,30,training,3000
v_o5P0afA4dKI,100,30,3000,30,training,3000
v_7O7pYs0Q6Vg,100,25,2500,25,training,2500
v_URw32kH4wpY,102,30,3060,30,training,3060
v_1ddrug5cEoA,135,25,3375,25,testing,3375
v_pEPkgqLiw5M,106,29,3074,29,training,3074
v_ItAyHCSK5ds,116,29,3364,29,testing,3364
v_6O20FF06BUY,100,29,2900,29,training,2900
v_6LVojBJLKqs,100,29,2900,29,testing,2900
v_stYxF7w_xyA,103,30,3090,30,testing,3090
v_28-qrodY5X8,100,29,2900,29,training,2900
v_AZw8DHGKqBU,108,29,3132,29,validation,3132
v_1hkX6E9-yhY,100,29,2900,29,training,2900
v_artbiBSOVN8,100,29,2900,29,training,2900
v_tQHO35sH81I,222,30,6660,30,training,6660
v_ijHn9BTe40o,101,25,2525,25,testing,2525
v_MrX3jo47uqY,232,30,6960,30,training,6960
v_vQ3Zpesb13Y,100,30,3000,30,validation,3000
v_WMKKcU-iNXk,103,25,2575,25,training,2575
v_8kPjYSEYUhA,100,25,2500,25,training,2500
v_jqdDXoH7AXg,339,30,10170,30,training,10170
v_wXtxZcryDdo,102,29,2958,29,training,2958
v_n12EjqVWMkc,101,25,2525,25,training,2525
v_LCp3l462YMY,101,29,2929,29,training,2929
v_z5rNP5Yo4uc,101,25,2525,25,training,2525
v_heUm-SnCGL8,103,30,3090,30,training,3090
v_unm99_HjbpE,104,29,3016,29,training,3016
v_gR1Ia9o8sOE,122,29,3538,29,training,3538
v_SO5fNwB7moA,103,23,2369,23,training,2369
v_gqhieDBIlMU,103,24,2472,24,training,2472
v_6gPD38IrUXk,101,30,3030,30,training,3030
v_a2pA0CVGhkg,127,23,2921,23,training,2921
v_nOCsgqMWess,101,30,3030,30,training,3030
v_4aG1uw5_ejQ,101,29,2929,29,training,2929
v_0x4JGJazIGU,108,30,3240,30,validation,3240
v_d1vt2-ngOyI,107,29,3103,29,training,3103
v_u-rqAQlHXCg,101,30,3030,30,training,3030
v_x74k18mvdS0,102,30,3060,30,validation,3060
v__riP6hNX5co,101,17,1717,17,training,1717
v_yc8ZiyweAF0,190,25,4750,25,training,4750
v_BskGGgPtgQk,120,30,3600,30,training,3600
v_ApJ3fliOtyI,103,30,3090,30,training,3090
v_Zf_cT9Vpsg0,109,29,3161,29,training,3161
v__HaFv9F4kiM,124,29,3596,29,training,3596
v_oPB8g5xDSEA,101,15,1515,15,testing,1515
v_AXxKLk97CqM,102,12,1224,12,training,1224
v_l6ZHfj1wI3w,102,29,2958,29,training,2958
v_epx6LVygpbI,121,28,3388,28,training,3388
v_56e07rAG718,106,30,3180,30,testing,3180
v_04ikWhqzIOc,102,29,2958,29,validation,2958
v_eGLI6xQ-Yf4,130,29,3770,29,training,3770
v_av4yh4PiHw8,101,15,1515,15,testing,1515
v_3V6L2RBCtRE,104,25,2600,25,training,2600
v_JYKPdKGVcBo,103,29,2987,29,training,2987
v_KGNLJB8Zg2E,102,29,2958,29,training,2958
v_g6dKlOpGkF0,102,29,2958,29,training,2958
v_PMsRCvxIy0M,111,29,3219,29,training,3219
v_GvpNQPhFGNE,103,29,2987,29,training,2987
v_mmlJjkAjNKQ,102,29,2958,29,training,2958
v_f1SqhPelhB4,103,30,3090,30,validation,3090
v_kMyp91i7zSI,103,29,2987,29,training,2987
v_lQv-Q2r7c-o,113,29,3277,29,testing,3277
v_UhgSIqmyqfo,230,25,5750,25,training,5750
v_muRPquCjh7A,106,25,2650,25,training,2650
v_BGCdJ2y9olU,103,24,2472,24,testing,2472
v_2VN_vMpqWaM,107,30,3210,30,training,3210
v_u6ARPlpAvVY,103,30,3090,30,training,3090
v_nfvzmZQd7OM,105,29,3045,29,training,3045
v_eoNvdfVmL8U,104,30,3120,30,training,3120
v_rBt_cWcFsqw,103,29,2987,29,training,2987
v__5VqtrtrS_c,123,30,3690,30,training,3690
v_ekMgIoh3RuA,112,29,3248,29,training,3248
v_Esk28pvT-B0,115,25,2875,25,training,2875
v_mplQlaV2cJ4,103,25,2575,25,testing,2575
v_f1aHY1BKEV4,114,29,3306,29,training,3306
v_-sn8SFV8IaQ,104,30,3120,30,training,3120
v_-JI3i8q-utA,104,25,2600,25,training,2600
v_Fx70-uvwyNw,105,30,3150,30,training,3150
v_MixC56kZYh0,104,30,3120,30,training,3120
v_CUWcDjbCY90,114,25,2850,25,testing,2850
v_nJqT8CHnP_w,104,27,2808,27,training,2808
v_f_KPmxBcb1c,109,30,3270,30,training,3270
v_vUeqe6-puaU,105,25,2625,25,training,2625
v_3kYHKMr4_WM,104,30,3120,30,training,3120
v_pOOmWDFCmhg,104,29,3016,29,testing,3016
v_iz_kQyPKWBo,106,30,3180,30,training,3180
v_Qvd13NhAUgI,104,30,3120,30,training,3120
v_DTfsqkYt-Xg,104,23,2392,23,training,2392
v__EvAN7DyBrI,105,30,3150,30,training,3150
v_ZRlUs4vApgk,105,29,3045,29,testing,3045
v_FxPZyYRCRsw,105,29,3045,29,testing,3045
v_qJV0O4lOhRU,131,29,3799,29,training,3799
v_HNbqvqf3-14,112,25,2800,25,training,2800
v_IIxSJh5ckLs,105,30,3150,30,training,3150
v_42LAebGLUls,105,30,3150,30,training,3150
v_UPpRTOFkLGE,105,29,3045,29,training,3045
v_rT6Xq1Dyr1c,108,30,3240,30,training,3240
v_SB1eANSjHnc,106,30,3180,30,training,3180
v_4_5bus3LYZQ,108,30,3240,30,training,3240
v_YyYrf-0wj9Q,105,25,2625,25,validation,2625
v_cFzr39-9uCw,165,29,4785,29,testing,4785
v_HjIanyYUOCY,105,23,2415,23,training,2415
v_30q-x1QemRI,114,29,3306,29,training,3306
v_DA556NOKnGI,194,25,4850,25,testing,4850
v_eKcLLKHozVg,105,29,3045,29,training,3045
v_kewNRsI6508,120,30,3600,30,training,3600
v_EYJU_1ppGzo,106,29,3074,29,training,3074
v_Rv6Y0nslXtk,106,30,3180,30,validation,3180
v_mCS6llq_7s0,106,29,3074,29,training,3074
v_pvg2MImyjoE,106,25,2650,25,testing,2650
v_H4E77jkWpeo,106,30,3180,30,training,3180
v_oCj7bO-iSyg,106,24,2544,24,validation,2544
v_sr1lq42SJ6w,134,29,3886,29,testing,3886
v_Aw50yOJd_T4,343,25,8575,25,training,8575
v_4dqO0sVpeKY,106,29,3074,29,testing,3074
v_zJ-7tihTKwU,215,30,6450,30,training,6450
v_1kZW8e79Bm0,270,29,7830,29,training,7830
v_ztMS-yt-HJ8,106,25,2650,25,training,2650
v_h2UJElT9wzg,106,29,3074,29,training,3074
v_QIlonTnzOj0,106,29,3074,29,training,3074
v_g55uKQwW-H4,106,25,2650,25,training,2650
v_WJZrxNxbpXA,106,23,2438,23,training,2438
v__vbuqg6Icys,106,30,3180,30,training,3180
v_GKno3jcvHY8,106,29,3074,29,training,3074
v_kSfXbmtEtTw,116,30,3480,30,training,3480
v_jX_qsfxg-jg,107,29,3103,29,training,3103
v__kDJxweDfIw,107,25,2675,25,training,2675
v_wLuuiRIvm6M,215,30,6450,30,training,6450
v_NXnq7TdHKmw,107,29,3103,29,training,3103
v_qSEeteS6Fbc,107,30,3210,30,training,3210
v_z6P6Bd9nvFM,109,29,3161,29,training,3161
v_jANhRfG2s-M,107,29,3103,29,validation,3103
v_jPOwdd6oZjE,107,29,3103,29,testing,3103
v_Z2OfidnJ3xk,107,25,2675,25,training,2675
v_VG22YcH2G90,107,29,3103,29,training,3103
v_BTal5TM9ljA,107,29,3103,29,training,3103
v_XoUkGaAUWc0,107,29,3103,29,training,3103
v_synZMobKkNc,107,29,3103,29,training,3103
v_Up9CYBHuLLI,107,30,3210,30,training,3210
v_yuTRO0d_vZ0,128,29,3712,29,testing,3712
v_xrHW3iZ_MDw,107,29,3103,29,testing,3103
v_maAIEq7yxP8,112,25,2800,25,training,2800
v_HVHvqGNPakM,134,30,4020,30,training,4020
v_wgQX3Fs7yGE,107,25,2675,25,training,2675
v_guLKsc4Q7y4,107,25,2675,25,training,2675
v_r4_8IgWCRRg,108,30,3240,30,training,3240
v_Zcu_stWtQFk,230,30,6900,30,training,6900
v_vxOo1smr7T8,109,23,2507,23,validation,2507
v_WwWz52baSV4,108,29,3132,29,training,3132
v_TLA-aeWn5U0,147,29,4263,29,training,4263
v_RiePh0pusLs,107,29,3103,29,testing,3103
v_VDoTPMvqIxM,108,29,3132,29,training,3132
v_CRIisZyom8w,116,24,2784,24,testing,2784
v_o1n50V_9VXs,108,30,3240,30,training,3240
v_Smar6GnN0ew,108,29,3132,29,training,3132
v_6v1UclNnkKM,108,29,3132,29,training,3132
v_G9teqZd7ZA4,113,29,3277,29,training,3277
v_X4y3mVM8b3Q,120,30,3600,30,training,3600
v_iRJ7vOdK0m8,108,30,3240,30,training,3240
v_g2IVvjOpUdE,108,29,3132,29,training,3132
v_qRB41nNSmQc,131,29,3799,29,training,3799
v_i7_l_FdIuLs,108,29,3132,29,training,3132
v_gscJthqttZM,112,23,2576,23,training,2576
v_DQ5qBjjaWN8,398,30,11940,30,training,11940
v__9DIAL5NreM,108,25,2700,25,training,2700
v_pOC1EzOpHFc,108,30,3240,30,validation,3240
v_0xotJJGryyc,108,29,3132,29,testing,3132
v_ZsSOf13lLX8,108,29,3132,29,training,3132
v_jOwnYifi2HY,121,25,3025,25,testing,3025
v_n49M3Qti3Ss,119,29,3451,29,training,3451
v_hwYcpsbjkZ8,108,29,3132,29,training,3132
v_nYh0Xuf7naw,111,30,3330,30,training,3330
v_gk7shHKoQPY,109,24,2616,24,testing,2616
v_POOICOt5jY4,125,30,3750,30,validation,3750
v_EaYXTAUTDws,112,29,3248,29,validation,3248
v_DLTr-ZGBHmY,109,25,2725,25,training,2725
v_kGIH7zcncxU,109,29,3161,29,training,3161
v_J6gtcNCuJxU,109,29,3161,29,testing,3161
v_E12ZGLzciEY,109,30,3270,30,training,3270
v_01u_ilr2XqM,109,29,3161,29,training,3161
v_AFWegh9WQDI,109,25,2725,25,training,2725
v_XvtiqXrARZ8,111,30,3330,30,training,3330
v_L6pq3HHmHsE,111,30,3330,30,training,3330
v_Ok048mpdRrI,189,30,5670,30,testing,5670
v_kKTqq2_fgns,109,30,3270,30,training,3270
v_JgXs55IcmTU,109,30,3270,30,training,3270
v_YXw7bh6iJhM,119,23,2737,23,validation,2737
v_XqnEis_eZ8Q,11,30,330,30,training,330
v_i5n0R0c_5iw,11,30,330,30,training,330
v_EKipfpifEis,11,30,330,30,training,330
v_efGP08-6NEE,78,29,2262,29,testing,2262
v_ATRWAyowWdE,11,23,253,23,testing,253
v_40PUUGXwK3k,10,30,300,30,training,300
v_XqosM-Ty-pc,10,30,300,30,training,300
v_Tm3oj3bLH90,17,29,493,29,training,493
v_oLaqR3v-nmo,26,29,754,29,training,754
v_-Pzl2QCNCfQ,13,29,377,29,testing,377
v_sqRAyiLsWO4,11,29,319,29,testing,319
v_M0n8zbtQO8k,11,30,330,30,training,330
v_yFxS7AfCGyw,11,29,319,29,training,319
v_8KD5xkip5lU,11,30,330,30,training,330
v_vKl54kR1_RY,12,29,348,29,training,348
v_hlw30DSzDpA,14,29,406,29,training,406
v_WaQihwNQC-I,88,29,2552,29,training,2552
v_PjLHXjyNK_c,11,29,319,29,training,319
v_qCcgafSRFZM,11,30,330,30,training,330
v_CkhrKz1gbjQ,309,30,9270,30,testing,9270
v_0ESiKUD9Ve4,11,30,330,30,validation,330
v_eBzLIOuDXpk,11,29,319,29,testing,319
v_B9FAQgIw4Jk,11,29,319,29,training,319
v_ADZ5mJaCfPY,19,30,570,30,training,570
v_qH2taNIcjUY,11,30,330,30,training,330
v_Rmay34xFxaQ,11,30,330,30,training,330
v_Ew08QqpuNKg,11,30,330,30,training,330
v_kZuvpZlaNtQ,72,25,1800,25,training,1800
v_k7ogBQXhxfw,11,25,275,25,training,275
v_F3JTckwUk8U,11,29,319,29,training,319
v_Sch62hGv0cA,12,25,300,25,training,300
v_qW5CMG6u7o4,11,30,330,30,training,330
v_5Q8HYTSd5TI,23,29,667,29,training,667
v_iZCyWBOZuJU,11,29,319,29,training,319
v_z3uejqw5gwI,11,30,330,30,testing,330
v_49IMC64N4-k,11,29,319,29,training,319
v_Idfetw9Db8U,12,29,348,29,training,348
v_jl0pMqvT9WM,49,29,1421,29,training,1421
v_ImJJ4WPD_NE,53,30,1590,30,training,1590
v_QiYhpub4paY,13,30,390,30,training,390
v_3ekx9crPz04,11,30,330,30,training,330
v_sThFNb0pR14,11,25,275,25,training,275
v_GSC4Gy2TThY,12,30,360,30,testing,360
v_MWlPR79iKXo,20,30,600,30,training,600
v_9UUYpUU6IUY,13,29,377,29,testing,377
v_CvqipS2k1I4,11,12,132,12,training,132
v_hL-swPeLEzc,11,29,319,29,testing,319
v_rlTfIDzuYOU,11,30,330,30,training,330
v_1XOJjPxjhGY,10,30,300,30,training,300
v_TSdEQ2oR4g8,11,30,330,30,training,330
v_dKwfke9YH_k,11,29,319,29,training,319
v_QSgkMlwledU,10,24,240,24,training,240
v_6t0WvWR9KbQ,11,14,154,14,validation,154
v__6PVn6G5ym4,11,30,330,30,testing,330
v_xov2-nEag7E,49,30,1470,30,validation,1470
v_3IzJYov4vqg,32,30,960,30,training,960
v_0tvXq9Th04I,11,29,319,29,training,319
v_FuCX6RicDNg,11,29,319,29,testing,319
v_o4q-HAEc2f0,11,30,330,30,training,330
v_Qf6m13LsFo0,11,29,319,29,training,319
v_xqyRN0KGy9c,11,30,330,30,testing,330
v_eSKn6oRbUxI,16,30,480,30,testing,480
v_FZw0aVaf-ak,11,25,275,25,training,275
v_uccLw_ALGyg,11,25,275,25,training,275
v_R4RDBU6rzv4,30,30,900,30,training,900
v_ltooeELe94Q,11,30,330,30,training,330
v_92SkPF9aoN4,11,25,275,25,training,275
v_a6-4exE7kbI,11,30,330,30,validation,330
v_MhdGM1v0v10,11,29,319,29,training,319
v_numa8iCNH60,18,30,540,30,validation,540
v_VTph8N4WJCQ,11,25,275,25,training,275
v_eO3KH-AxfNQ,11,30,330,30,testing,330
v_BUztvEAslHE,11,30,330,30,training,330
v_ZaKdWqbz9vc,10,29,290,29,training,290
v_mWZkBKm9x3Y,11,30,330,30,training,330
v__WfNsaUfaLg,11,24,264,24,training,264
v_DmzsxKwxTI0,15,30,450,30,testing,450
v_9lX0BucJsmY,12,30,360,30,testing,360
v_x83PrsPPLfM,11,29,319,29,training,319
v_QNg7uVGemYg,11,30,330,30,training,330
v_v85CNJ5w_0g,11,30,330,30,training,330
v_AO5nh8jdvu8,13,25,325,25,training,325
v_JCTY5eMM8mk,11,29,319,29,training,319
v_1IBbZBmMAlY,11,29,319,29,training,319
v_HvWsg2InUq4,11,29,319,29,training,319
v_2oIZfoQ-hQI,15,30,450,30,training,450
v_muzzIcibGMo,33,29,957,29,training,957
v_RHf4-6wXLC4,59,30,1770,30,training,1770
v_uwlIXSN4FpA,14,30,420,30,training,420
v_H1kBuWZAQ7U,11,29,319,29,training,319
v_RQhLPu4sU0E,11,30,330,30,training,330
v_Ev-3WiTC_34,11,23,253,23,training,253
v_Ard1_0Zh2Eo,11,30,330,30,training,330
v_IJAuj-t5fes,11,29,319,29,testing,319
v_4WoEZV2I-oc,17,30,510,30,training,510
v_WqGPhf_nv0E,60,30,1800,30,training,1800
v_B2Hvp45rbEE,11,29,319,29,training,319
v_OCDwny-R3JE,11,30,330,30,training,330
v_DkJoMc4vOAQ,16,30,480,30,training,480
v_CNXe2gdaNDs,200,30,6000,30,validation,6000
v_ll8BznaO9WM,72,30,2160,30,training,2160
v_dwX5ksMZcTs,11,25,275,25,training,275
v_R-J6EVEBG6I,11,29,319,29,training,319
v_kxrzWH7Ps-w,19,30,570,30,validation,570
v_vXQ-qij128g,11,30,330,30,training,330
v_hqWlmgVVOLg,11,29,319,29,training,319
v_L7r87Jn3gI8,11,30,330,30,testing,330
v_FUBkYbAribo,14,29,406,29,testing,406
